iter	Passed	Remaining
671	5543	2705
672	5552	2698
673	5561	2690
674	5569	2681
675	5577	2673
676	5585	2664
677	5593	2656
678	5601	2647
679	5608	2639
680	5616	2631
681	5624	2622
682	5632	2614
683	5640	2605
684	5648	2597
685	5656	2589
686	5664	2580
687	5672	2572
688	5680	2563
689	5688	2555
690	5695	2547
691	5704	2538
692	5712	2530
693	5720	2522
694	5728	2513
695	5736	2505
696	5744	2497
697	5752	2488
698	5761	2480
699	5769	2472
700	5778	2464
701	5787	2456
702	5797	2449
703	5805	2441
704	5813	2432
705	5822	2424
706	5830	2416
707	5838	2407
708	5846	2399
709	5854	2391
710	5861	2382
711	5869	2374
712	5877	2365
713	5886	2357
714	5894	2349
715	5903	2341
716	5911	2333
717	5918	2324
718	5926	2316
719	5935	2308
720	5943	2299
721	5950	2291
722	5959	2283
723	5966	2274
724	5974	2266
725	5983	2258
726	5991	2249
727	5999	2241
728	6007	2233
729	6014	2224
730	6022	2216
731	6031	2208
732	6039	2199
733	6047	2191
734	6055	2183
735	6063	2174
736	6070	2166
737	6079	2158
738	6087	2149
739	6094	2141
740	6102	2133
741	6110	2124
742	6117	2116
743	6126	2107
744	6134	2099
745	6142	2091
746	6151	2083
747	6160	2075
748	6168	2067
749	6178	2059
750	6186	2051
751	6194	2042
752	6203	2034
753	6211	2026
754	6220	2018
755	6228	2010
756	6235	2001
757	6244	1993
758	6252	1985
759	6260	1976
760	6268	1968
761	6276	1960
762	6284	1951
763	6292	1943
764	6300	1935
765	6308	1927
766	6316	1918
767	6324	1910
768	6332	1902
769	6340	1893
770	6348	1885
771	6356	1877
772	6363	1868
773	6371	1860
774	6379	1852
775	6387	1843
776	6396	1835
777	6404	1827
778	6411	1819
779	6419	1810
780	6427	1802
781	6435	1794
782	6443	1785
783	6451	1777
784	6459	1769
785	6467	1760
786	6475	1752
787	6483	1744
788	6491	1736
789	6499	1727
790	6507	1719
791	6514	1710
792	6522	1702
793	6530	1694
794	6539	1686
795	6547	1678
796	6556	1669
797	6565	1661
798	6574	1653
799	6582	1645
800	6590	1637
801	6598	1629
802	6607	1621
803	6615	1612
804	6623	1604
805	6631	1596
806	6639	1587
807	6647	1579
808	6654	1571
809	6663	1562
810	6671	1554
811	6679	1546
812	6686	1538
813	6694	1529
814	6702	1521
815	6710	1513
816	6719	1504
817	6727	1496
818	6735	1488
819	6742	1480
820	6750	1471
821	6759	1463
822	6767	1455
823	6775	1447
824	6783	1438
825	6791	1430
826	6799	1422
827	6807	1414
828	6815	1405
829	6823	1397
830	6831	1389
831	6839	1380
832	6847	1372
833	6854	1364
834	6862	1356
835	6870	1347
836	6879	1339
837	6887	1331
838	6897	1323
839	6905	1315
840	6913	1307
841	6922	1299
842	6931	1290
843	6940	1282
844	6949	1274
845	6958	1266
846	6966	1258
847	6974	1250
848	6981	1241
849	6989	1233
850	6998	1225
851	7006	1217
852	7013	1208
853	7021	1200
854	7029	1192
855	7037	1183
856	7045	1175
857	7053	1167
858	7061	1159
859	7070	1150
860	7077	1142
861	7085	1134
862	7093	1126
863	7101	1117
864	7109	1109
865	7117	1101
866	7125	1093
867	7133	1084
868	7141	1076
869	7150	1068
870	7157	1060
871	7165	1051
872	7173	1043
873	7181	1035
874	7189	1027
875	7197	1018
876	7205	1010
877	7213	1002
878	7221	994
879	7229	985
880	7237	977
881	7245	969
882	7254	961
883	7264	953
884	7273	945
885	7282	937
886	7291	928
887	7299	920
888	7308	912
889	7318	904
890	7327	896
891	7336	888
892	7345	880
893	7354	871
894	7362	863
895	7370	855
896	7378	847
897	7386	839
898	7395	830
899	7403	822
900	7410	814
901	7418	806
902	7426	797
903	7435	789
904	7443	781
905	7451	773
906	7459	764
907	7468	756
908	7476	748
909	7484	740
910	7491	731
911	7499	723
912	7507	715
913	7515	707
914	7523	698
915	7531	690
916	7539	682
917	7547	674
918	7555	665
919	7563	657
920	7571	649
921	7579	641
922	7587	632
923	7595	624
924	7603	616
925	7611	608
926	7620	600
927	7628	591
928	7637	583
929	7645	575
930	7655	567
931	7664	559
932	7672	550
933	7680	542
934	7688	534
935	7696	526
936	7705	518
937	7713	509
